code,name,cat,verdict,detail
018303,华夏聚盈优选三个月持有混合发起式(FOF)C,fof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-01
007261,融通消费升级混合A,other,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-14
026550,百嘉中债1-5年政金债指数C,bond_periodic,no_series,
020809,泰康悦享60天持有期债券D,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-07-31
022828,南方赢元债券D,bond_periodic,no_series,
026984,京管泰富京享混合A,other,no_series,
027210,广发匠心精选混合C,backend_share,no_series,
027549,博时汇益优选3个月持有期混合(FOF)A,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
128002,国投瑞银景气行业混合(后端),other,no_series,
159058,证券ETF大成,etf_lof,no_series,
180701,银华绍兴原水水利REIT,reits,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2024-12-30
020507,中银证券鸿安债券C,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-25
519182,万家和谐增长混合A(后端),other,no_series,
541001,汇丰晋信2016周期混合A(后端),other,no_series,
960014,汇添富民营活力混合O,other,no_series,
027295,大摩添悦债券A,bond_periodic,no_series,
028315,富国智泓稳健90天持有期混合(FOF)A,fof,no_series,
028414,中欧医疗精选混合发起A,other,no_series,
028593,鹏华瑞衡稳健120天持有期债券A,bond_periodic,no_series,
960022,博时沪深300指数R,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2018-11-13
158017,化工ETF易方达,etf_lof,no_series,
027877,汇添富稳益多资产三个月持有混合(FOF)C,fof,no_series,
002613,融通通慧混合A/B(后端),other,no_series,
001187,富国文体健康股票A(后端),other,no_series,
018565,嘉实中证全指家用电器指数发起式C,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-31
019188,中银证券和瑞一年持有混合C,backend_share,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-06-25
007683,华商转债精选债券A,bond_periodic,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-07-02
021497,中欧颐享平衡养老目标三年持有混合发起(FOF)Y,fof,stale_only,Data_netWorthTrend|Data_ACWorthTrend@2026-05-21
016436,泰信新能源锐选混合发起式C,backend_share,no_series,
027776,鹏扬量化选股混合C,backend_share,no_series,
026725,永赢裕鑫稳健多资产六个月持有混合(FOF)C,fof,recoverable,Data_netWorthTrend|Data_ACWorthTrend@2026-07-23
027203,兴业创新驱动混合发起式A,other,no_series,
